Time,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8,Chan9,Chan10,Chan11,Chan12,Chan13,Chan14,Chan15,Chan16,Chan17,Chan18,Chan19,Chan20,Chan21,Chan22,Chan23,Chan24,Chan25,Chan26,Chan27,Chan28,Chan29,Chan30,Chan31,Chan32,Chan33
0.09800,0.18803,0.02079,-0.29920,0.47624,0.03069,-0.35952,1.12866,0.14741,0.15153,0.19045,-0.27991,0.10221,0.07750,-0.51793,0.77478,1.93284,-10.18534,3.18795,0.90476,0.31447,-1.15594,0.22258,-1.70522,0.33444,-1.79192,1.12922,0.19713,0.69771,0.20510,0.18432,0.65416,0.22604,-0.31144
0.10000,0.12869,0.15075,-0.06472,0.02994,0.04147,-0.24462,0.18703,0.24561,0.10153,0.29899,-0.28227,0.23226,-0.26109,0.33346,2.06240,1.87215,-7.56216,0.62992,1.24993,0.48691,-1.26725,-0.10864,-1.08772,-0.58793,-0.30577,0.36658,0.64300,0.85615,-0.54784,0.53106,0.64142,0.33211,-0.19794
0.10200,0.01378,-0.03439,0.47043,-0.18296,0.03407,0.37161,0.00472,0.27910,0.00252,0.19971,-0.08087,0.32504,-0.19764,0.25460,-1.11277,1.55404,0.53145,0.79304,1.23211,-0.23912,-0.60884,-0.95882,0.05590,-1.34268,1.39911,-1.19104,0.72539,-0.34015,-0.40389,0.64986,-0.18155,0.29676,0.07870
0.10400,-0.02656,-0.04212,0.60030,-0.13507,0.15873,0.49174,0.07155,0.28162,0.14146,-0.23240,0.14199,0.33013,-0.12853,-0.41946,1.32566,0.64472,1.10793,1.85507,0.96575,-0.36879,0.44458,-1.68431,0.41562,-1.67792,1.14009,0.05747,1.93347,0.04237,-0.03106,0.59964,0.15475,-0.34016,0.34761
0.10600,-0.05768,-0.00515,0.12667,-0.06892,0.10119,0.00928,0.21027,0.25899,0.19020,-0.19104,0.20467,-1.16848,-0.00711,0.48612,2.53568,1.80476,-1.03757,2.57360,0.77131,-0.33091,-0.03969,-1.10228,-0.65335,-0.09463,0.81675,0.77696,1.73690,-0.61434,0.29684,0.49335,0.37967,-0.12850,0.28605
0.10800,0.14257,0.10750,-0.21620,-0.02425,-0.13594,0.06995,0.28397,-0.10006,0.12055,0.02035,0.20545,0.08335,-0.19531,-0.02991,2.73732,-1.92869,0.13352,2.41802,0.25135,-0.05242,-0.90091,0.00205,-1.15493,1.40300,-1.63029,0.97177,-0.04022,-0.43327,0.45209,-0.27810,0.42290,0.08128,0.06406
0.11000,0.18396,0.16388,0.02128,0.37240,-0.14831,0.13701,0.32634,0.05480,-0.16777,0.24188,0.18139,0.28829,-0.31251,0.67517,7.42012,-2.13476,1.44960,1.57723,0.95580,0.17184,-1.53960,0.35494,-1.44981,0.84858,-0.01329,3.38130,0.52349,-0.26011,0.47131,0.33147,-0.42129,0.21327,-0.02062
0.11200,0.03074,-0.04686,0.15887,0.10068,-0.24350,0.17783,0.32537,0.12861,-0.13678,0.18936,-0.43256,0.33467,-0.35288,0.98773,6.92289,-2.08558,2.12149,0.95723,1.17884,-0.23400,-1.04153,-0.34782,0.08245,1.30262,0.89986,2.82110,-0.20255,-0.10088,0.40574,0.62194,-0.44231,0.16893,-0.07599
0.11400,-0.18356,-0.01780,0.20564,-0.52014,-0.05218,0.14893,-0.20207,0.12647,0.02556,0.01077,0.09616,-0.54950,0.08340,0.99883,-1.28943,-0.94391,1.99738,0.90265,0.76339,-0.45466,-0.04946,-1.17164,1.31886,-1.42188,1.16111,0.34439,-0.32916,0.07240,-0.37488,0.52719,-0.11576,0.01108,0.08114
0.11600,-0.19655,-0.00192,0.83768,-0.68238,-0.00704,0.07064,0.01772,-0.22684,0.17958,-0.03990,0.17554,-1.16781,0.04701,1.60163,-1.43894,-0.59195,1.21849,2.47714,-0.43675,-0.45124,0.29303,-1.45938,0.73917,0.33299,4.85908,0.86828,-0.51624,0.26040,0.21725,-0.73064,0.27579,-0.06926,0.22523
